audio,Labels,class_id,Audio_Data,Sample_Rate,Features
0_443.wav,non-snoring,0,[0.01005622 0.01763131 0.01775483 ... 0.15250348 0.13399018 0.131429  ],22050,"[-80.074326    76.215645     2.097256     7.245966     5.0902715
  13.649823     2.9416816    3.4613035    3.8642402    2.7213945
   3.3478365    1.155622     2.2627199    3.1424232    1.3672953
   1.7755302    0.86542916   1.4623299    0.9347078    0.6317703
   3.9710443    3.4885523    2.2020009    1.8195605    1.8781018
   1.387962     2.1160917    2.463932     2.138087     2.7085152
   1.7063447    1.9407477    1.6026037    2.1006334    1.7805614
   1.3808652    1.2057253    1.2170801    1.3046223    1.6165184 ]"
0_145.wav,non-snoring,0,[0.00133986 0.00354949 0.00318547 ... 0.13530087 0.13422355 0.14415428],22050,"[-1.4384288e+02  3.3003483e+01 -5.6035442e+00  1.5001290e+01
  6.8596309e-01  3.4587214e+00  2.2886784e+00  1.2823883e+00
  3.3111200e+00 -1.9060545e-02  4.4741669e-01 -8.9615721e-01
 -6.3053715e-01  3.3655727e-01 -1.6072838e-01  2.4601555e+00
  1.4078435e+00  2.3345175e+00  6.5541232e-01 -6.4244151e-02
  7.2663681e+01  2.1145435e+01  1.1453845e+01  1.1731109e+01
  5.0712261e+00  6.2816143e+00  4.7978711e+00  6.9662542e+00
  4.9829068e+00  5.5712562e+00  6.0418086e+00  3.2265270e+00
  3.7316060e+00  3.1419816e+00  2.0751698e+00  2.0584929e+00
  2.3184407e+00  1.4661032e+00  2.1018229e+00  1.7809572e+00]"
0_435.wav,non-snoring,0,"[ 0.05555623  0.08908294  0.09494937 ... -0.15714848 -0.14186627
 -0.14525841]",22050,"[-77.640495    77.142365     0.47089994   3.8636117    2.3644361
  13.085211     4.4209194    3.2471693    1.2885159    0.17310743
   2.2589667    1.0976026    1.2525563    0.54635745  -0.94819546
   0.77155304   0.46637204   1.0572034    0.4098539    0.24040976
   5.3357606    4.93754      2.7589223    4.5231557    2.5899148
   1.949099     2.4272013    1.630175     1.7730944    1.790124
   2.0002723    2.1008193    1.621252     1.5275522    1.1103293
   1.1180195    1.3733509    1.2914857    1.06161      0.9912699 ]"
0_26.wav,non-snoring,0,"[-0.0598505  -0.08772577 -0.07480897 ... -0.0201914  -0.04937731
 -0.07254495]",22050,"[-93.93284     16.332756   -30.20479     -9.026626   -13.916467
  -9.214878     8.610266    -2.2537923   -7.705751   -11.196262
  -6.8820567    8.271028    11.532389    19.891579     9.5561695
   5.2654576   -0.96210253   3.171831     0.12771958  -4.3709126
  36.21783     21.165882    11.765263     8.394573     5.879809
   6.170214     7.039753     5.503307     8.39456      4.9839196
   4.962464     8.86618     12.574759    10.014796     6.2446914
   5.647399     5.4422197    4.8511763    2.526819     5.2219257 ]"
0_159.wav,non-snoring,0,"[ 0.01306311 -0.00140518  0.00090361 ...  0.12943983  0.14552474
  0.15956728]",22050,"[-45.598446    35.134033    -4.7199464    4.976124    -1.7739251
   4.221205     0.37904063   2.4845576   -1.6096668   -2.1829073
  -1.5151131   -3.871707    -4.0219846    0.19241366  -0.9945106
  -2.641322    -1.4982383   -0.33456984  -1.0830758   -3.6290984
  38.397808     5.675707     5.6320257    3.2699153    4.2656126
   3.4648354    3.6879025    2.1958327    3.506646     3.0518332
   2.4424295    3.215138     1.9523331    2.28023      2.664731
   3.064828     2.289974     1.770786     1.8804026    1.4656142 ]"
0_458.wav,non-snoring,0,"[-0.02509983 -0.02511767 -0.00477456 ... -0.16863583 -0.17553501
 -0.2041933 ]",22050,"[-73.77172     77.55535     -4.3117642    3.5623057    5.340587
  14.59958      4.3822894    3.7314384    2.2151952    0.51971203
   1.7246234   -0.2361663    1.4785045    2.3123484    0.49166358
   1.4158219    0.11770792   0.27690175   0.41621864   0.89606816
   4.891631     5.3158665    4.4810863    4.089727     4.027664
   2.3213277    1.4297357    1.794081     2.9108584    2.7157521
   2.1667833    2.1335878    1.976915     1.9977574    2.4583688
   1.954082     1.3670669    2.842384     2.0864637    1.9757626 ]"
0_309.wav,non-snoring,0,"[-0.13499501 -0.13265154 -0.06036168 ...  0.04523463  0.06075671
  0.10857855]",22050,"[-33.108395    36.847897     7.2936788    8.792088     5.5755944
   4.2856565    4.1250644    3.0216224    3.4262643    1.2210662
   1.3347901    1.2064439    0.5872439    1.1129225    0.83432364
   0.36285427  -0.07973354  -0.24842082  -0.1526358   -0.18535781
   6.741821     5.4204335    2.3246117    2.5528166    2.3707147
   1.8316486    1.7048504    1.5926944    1.8061075    1.6519843
   1.3829572    1.2577094    1.5445329    1.1074486    1.3591325
   1.3515712    1.3125314    0.9042627    0.92147505   0.9496107 ]"
0_325.wav,non-snoring,0,"[ 0.05794295  0.0379305  -0.02029157 ...  0.14222606  0.1098879
  0.07812611]",22050,"[-36.902687    79.20063    -18.18146      8.615693     4.680551
   7.463278    -2.602939     1.5243001    0.7540571    2.538609
  -1.8162112    3.2090409   -2.1048946   -0.53308827   0.6883593
  -1.12186      0.44776076  -0.9443092    0.992016    -0.64734507
   3.4049325    4.10898      1.7991325    2.2771125    1.3801718
   1.9713342    1.3896263    1.5480292    1.2601508    1.5517125
   1.3370084    1.3720573    1.1243134    1.310994     1.4071853
   1.3097194    0.9188322    1.1583033    0.84359485   0.7089899 ]"
0_299.wav,non-snoring,0,"[-0.00059599 -0.02174614 -0.0181754  ... -0.03264812  0.00750683
  0.02996549]",22050,"[-5.8115067e+01  1.0075897e+01 -8.4309444e+00 -1.2200475e+00
 -2.7875104e+00 -3.3292565e+00 -8.5147458e-01 -1.5496749e+00
  5.5890638e-01 -8.7035179e-01 -3.9901587e-01  4.1270381e-01
 -7.6315194e-02 -4.5988206e-03  8.2875860e-01  7.5829774e-02
  8.0930263e-02 -1.9586335e-01  1.3238029e-01 -2.9643023e-01
  4.9569201e+00  3.1312284e+00  1.5665690e+00  2.2219570e+00
  1.6541620e+00  1.4530538e+00  1.5106709e+00  1.3864338e+00
  1.0098757e+00  1.4022548e+00  1.0745883e+00  1.5014681e+00
  1.2169813e+00  1.0441505e+00  1.2243283e+00  1.1068232e+00
  9.8444086e-01  8.9838654e-01  8.7671220e-01  8.7789750e-01]"
0_329.wav,non-snoring,0,"[ 0.00200355  0.01519894  0.04217887 ... -0.1938436  -0.14512259
 -0.07770966]",22050,"[-29.46336     67.525665   -20.994442     7.501068    -0.13226183
   8.28702     -3.0291367    4.7882533    1.1214747    4.725449
  -2.3429701    5.4309177   -2.5841773    1.3676159    1.4661518
  -1.1206101    0.75212836  -0.8801443    0.5105465   -1.1117042
   9.344087     7.2477016    2.0248244    1.4692062    1.5294462
   2.2734823    1.2085266    2.165066     1.7468439    1.5089704
   1.4972694    2.040058     0.9332788    1.2342974    0.97509927
   1.2181542    1.0977488    0.92699105   0.9399688    0.77587974]"
0_14.wav,non-snoring,0,[0.08724948 0.14705388 0.06346717 ... 0.01513146 0.04612599 0.07825676],22050,"[-65.195885  -16.742018  -35.770405    8.530211   -7.930907   -7.8550816
   3.1889389  -5.910316   -5.552337  -14.096127   -6.010857   -2.974848
   4.6585855  29.414427   23.36629    10.00327    -5.6971684 -10.027567
  -3.0048864   3.1103735  17.707237   18.577515    4.6569505   6.119268
   4.1965737   6.259973    5.0762157   5.278804    4.4164696   4.0708637
   4.0796666   5.3594003   6.6556864   7.1072817   6.2339444   5.0067015
   6.5060263   5.928203    2.259012    2.8177238]"
0_386.wav,non-snoring,0,"[-0.00439488 -0.00908506 -0.00900167 ...  0.04431832  0.0481155
  0.05740346]",22050,"[-127.53586     57.291416    19.43073     15.2674265    8.618157
    3.2628968    4.954204     1.6884145    1.0656296    1.6981667
    2.307626     2.5288122    2.5568       3.0523405    2.1593583
    1.4861786    1.3845134    1.5523463   -0.381379    -1.873694
   18.57081     18.44127     11.167272     7.811338     5.5760155
    5.8696885    3.7421365    3.3280213    4.040446     3.3034604
    3.0488024    2.071559     3.231782     2.523196     1.9080067
    1.8481727    2.3179514    2.0592375    1.3535635    1.5360813]"
0_381.wav,non-snoring,0,"[ 0.02121752  0.03027214  0.02918685 ... -0.02170144 -0.0216298
 -0.0312061 ]",22050,"[-9.4925201e+01  6.3787769e+01  1.4588345e+01  1.0002652e+01
  7.4141049e+00  2.0070906e+00  3.4405944e-01 -2.8007586e+00
 -1.2764984e+00  3.8476703e-01  1.0576299e+00  2.2569921e+00
  1.2807370e+00  1.7480060e+00  6.4136779e-01 -1.8534668e-02
 -4.8444003e-01 -5.7710677e-01 -1.0537008e+00 -7.6711565e-01
  1.7985567e+01  9.0124502e+00  5.7105727e+00  6.2553616e+00
  5.1489630e+00  4.4192348e+00  3.8990829e+00  2.3783441e+00
  2.6214519e+00  2.2681708e+00  3.2006316e+00  2.5628915e+00
  2.7122257e+00  2.2195654e+00  2.0371704e+00  1.7951777e+00
  1.6310065e+00  1.7582281e+00  1.5653824e+00  2.0224440e+00]"
0_238.wav,non-snoring,0,"[ 0.05194576  0.05838153  0.02945564 ... -0.04323735  0.00919245
  0.07575683]",22050,"[-111.78345      40.363907    -37.566254      0.3368347   -26.357283
   -0.35008833   15.661176     21.859789      2.5577917    -3.7288146
    4.2761893    15.323249      0.31072146  -10.950147      1.9161217
    3.9857829    -4.2943034     3.258111      2.5632184     0.98325175
    8.955756      8.20558       5.3906317     5.9932017     5.7634206
   10.310859     12.796692      7.676271     15.963692     11.7813
    7.2458334    10.315068      7.5457788     8.401947      6.149796
    3.8458552     2.7336125     5.017831      4.3959656     7.0468955 ]"
0_72.wav,non-snoring,0,"[-0.02497271 -0.03528469 -0.03259335 ...  0.00544918  0.00668287
  0.00222822]",22050,"[-92.675186    40.29405     19.245209     1.512038     3.8997612
   4.5492973    0.57460237   0.8869568    3.1262178    1.8788189
   2.2730901    1.1971568    1.0443535    0.9200003    2.5513372
   1.9305421    1.3875589    0.8558357    0.4916231   -1.2501166
  10.256096     6.892736     5.3584204    2.8030798    2.4234674
   2.1236358    2.2051046    1.5826433    1.9890246    1.4498969
   1.6128196    1.8788071    1.2104584    1.5277461    1.8107727
   1.569931     1.58448      1.8688288    1.8464673    1.7854469 ]"
0_88.wav,non-snoring,0,"[ 0.00536925 -0.00264471 -0.01106441 ... -0.00864616 -0.03607982
 -0.03371164]",22050,"[-8.87894745e+01  1.62676315e+01  3.40288124e+01  9.78592587e+00
  4.46831322e+00  1.25046902e+01  3.12990117e+00  6.27667952e+00
  2.44960666e+00  1.26715505e+00  4.88095731e-01 -5.80184087e-02
  1.25312829e+00  4.99766916e-01  1.71612096e+00  1.88834563e-01
  1.02998205e-01  8.09342802e-01  1.27598488e+00 -2.85590649e-01
  1.79833164e+01  7.76561069e+00  6.95395708e+00  2.81392431e+00
  3.69239902e+00  2.48221922e+00  1.98742628e+00  2.48750615e+00
  2.92764258e+00  1.64098418e+00  1.25742137e+00  1.28443646e+00
  1.30305517e+00  1.31251359e+00  1.29838014e+00  1.49141979e+00
  1.21397293e+00  1.40262067e+00  1.07292175e+00  1.10254562e+00]"
0_290.wav,non-snoring,0,"[-0.00582958  0.01104315  0.06685636 ... -0.05659306  0.02130893
  0.00540385]",22050,"[-5.3218906e+01  1.4868176e+01 -3.6951272e+00  2.4893923e+00
  1.2685097e+00  9.0626901e-01  2.3661535e+00  1.3061602e+00
  2.4938433e+00  1.2642661e+00  1.4105846e+00  1.2147287e+00
  1.3995095e+00  1.1045300e+00  1.4169145e+00  6.0165364e-01
  4.8051327e-01  3.8681012e-02  9.8214857e-02  1.8198052e-01
  3.8468320e+00  2.5689230e+00  2.0050921e+00  2.1821461e+00
  2.0217962e+00  1.5459844e+00  1.7009014e+00  1.3897555e+00
  1.1966625e+00  1.3194422e+00  1.2672714e+00  1.5013206e+00
  1.0410013e+00  1.0535079e+00  8.2672781e-01  1.0874097e+00
  9.5252627e-01  1.1601170e+00  1.0604208e+00  8.9590514e-01]"
0_335.wav,non-snoring,0,"[-0.16206391 -0.23635057 -0.18622857 ...  0.10313094  0.0840002
  0.03515204]",22050,"[-11.993804    59.891537   -16.574392     9.82661      3.4167452
   5.804795    -0.18511209   3.6380987    3.7814522    3.0969355
  -4.3950653    1.641703    -3.7515829    0.2396019    0.38009062
  -1.3244267   -0.24500795  -1.148863    -0.1704938   -0.29794517
   8.1444025    3.6771753    3.718956     2.060332     2.1413944
   1.610696     2.1793957    1.9171641    1.672513     1.515773
   1.7460604    1.7053403    1.6236202    1.4322761    1.3877357
   1.2516191    1.1763487    1.3863152    0.6407679    0.9543371 ]"
0_487.wav,non-snoring,0,"[-0.00481265 -0.00555095 -0.00308339 ...  0.01798255  0.01879269
  0.02448274]",22050,"[-131.0268       33.26675      35.777832     11.138854      3.5292199
   12.077943      5.5020456     7.747743     -0.31303766   -1.1134738
   -0.4513354    -5.020943      3.0670066     5.927362      0.28724363
   -1.5774398    -3.3736575    -0.89307696    1.5418708    -1.2032087
    2.8174734     0.84302163    1.2798764     0.76643676    1.0231197
    0.970355      0.8310347     1.0544716     0.9198833     1.0780609
    0.88287234    0.8032864     0.66585207    0.78968227    0.72230893
    0.7172625     0.6383675     0.7073175     0.59245586    0.6889838 ]"
0_438.wav,non-snoring,0,[0.0172104  0.00907524 0.00132305 ... 0.01874086 0.01318379 0.02165294],22050,"[-7.7412476e+01  7.7489128e+01 -7.0712417e-01  4.1416993e+00
  3.6078339e+00  1.2772483e+01  3.0216200e+00  4.0968709e+00
  2.9417367e+00 -2.7317098e-01  9.7825009e-01  1.6244251e+00
  2.2971103e+00 -9.4777495e-02 -2.5200055e+00  4.3048054e-02
 -3.9618114e-01 -1.3695295e+00 -1.6168132e+00  3.2598737e-01
  4.9168596e+00  3.4961054e+00  3.7087374e+00  3.4375377e+00
  3.8669565e+00  2.7245064e+00  2.3046679e+00  2.7801182e+00
  1.4782362e+00  1.6133419e+00  2.0217018e+00  1.5838979e+00
  1.6270490e+00  2.6627171e+00  2.7668164e+00  1.5572532e+00
  1.5716782e+00  1.4911385e+00  1.6405066e+00  2.0355978e+00]"
0_424.wav,non-snoring,0,[0. 0. 0. ... 0. 0. 0.],22050,"[-5.0990195e+02  0.0000000e+00  1.6804681e-05  0.0000000e+00
  8.2181032e-06  0.0000000e+00  3.9570136e-06  0.0000000e+00
  7.4945474e-06  0.0000000e+00  4.3536124e-06  0.0000000e+00
  3.1677178e-06  0.0000000e+00  2.8063528e-06  0.0000000e+00
  3.0050819e-06  0.0000000e+00  3.9334413e-06  0.0000000e+00
  3.0517578e-05  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  9.0949470e-13  0.0000000e+00  4.5474735e-13  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  4.5474735e-13  0.0000000e+00  4.5474735e-13  0.0000000e+00]"
0_239.wav,non-snoring,0,[0.08510202 0.12009989 0.07039832 ... 0.06555326 0.12624668 0.18390894],22050,"[-117.76074      24.319221    -33.0069        1.9537284   -14.35637
   23.937176     19.825361      0.14450355  -24.289349      3.472441
   30.409819      5.269428    -25.3836        8.805697      7.196029
   -8.050239      9.488137     -0.6492179   -12.087991     12.13999
    9.22082       4.58615       4.680597      4.1331425     8.324278
    7.599754      6.8467536     9.439789      5.2443314    11.482613
    5.682325     10.286071      7.4858155     9.400098      5.819184
    6.798626      4.7270374     4.9962373     7.2577314     5.6358466 ]"
0_268.wav,non-snoring,0,"[1.3548143e-04 3.4758355e-04 1.5579374e-04 ... 6.2850617e-05 4.1125655e-05
 1.7658413e-05]",22050,"[-2.9434525e+02  3.8854504e+01  1.9332457e+01  7.7234921e+00
  4.8685832e+00  4.9947891e+00  3.5869067e+00  2.6680319e+00
  3.4812186e+00  1.1962856e+00 -6.7229325e-01  4.3043563e-01
 -2.2770362e-01 -9.8958343e-01 -6.7015630e-01 -2.3006000e-01
 -6.4612079e-01 -7.9327834e-01 -9.5785487e-01 -1.3806572e+00
  4.3176150e+00  2.2295077e+00  2.1503916e+00  1.9354796e+00
  1.7552760e+00  1.7710583e+00  1.4623770e+00  1.0481348e+00
  1.1062967e+00  1.2834406e+00  1.4238940e+00  1.3529119e+00
  1.2698884e+00  1.3051227e+00  9.9429160e-01  1.1371602e+00
  9.7869968e-01  1.1051804e+00  9.2147350e-01  8.3125180e-01]"
0_350.wav,non-snoring,0,"[-0.03350145 -0.08156365 -0.09164466 ...  0.22943933  0.2177875
  0.25438014]",22050,"[-39.88892     78.08178    -14.50307     14.484641     0.58638674
   8.430676    -1.6135535    0.80333954   1.7607772    2.09914
  -2.745934     5.1862707   -2.0975382   -0.47456095   0.96406823
  -1.5591258   -0.69009745  -0.7546683   -0.32987735  -0.8450857
   6.7601767    5.7299614    2.7237108    1.9055548    2.1513817
   1.7635897    1.7060244    2.064867     1.6906643    1.549227
   1.7925863    1.8142471    1.2984344    1.1464332    0.9061055
   1.1948473    1.0876378    1.0504346    0.8093054    1.136617  ]"
0_174.wav,non-snoring,0,"[ 0.00207706 -0.02009952 -0.0116     ...  0.03217504 -0.04699231
 -0.06585634]",22050,"[-51.95432     13.039392    -5.396024    11.906318    -6.082596
   3.9016304    6.9300976   -3.439614     2.850937     3.3239534
  -1.3089128    2.9097803    0.34805313  -0.15439607  -3.322528
   0.46618736  -1.9562526   -0.16442052   1.2589928   -3.7433882
   5.184967     3.7605255    1.77724      2.2712312    2.3179686
   1.8440996    1.9607841    1.6547419    1.5308515    2.1471283
   2.0022922    1.5416509    1.9023933    1.7619959    1.60002
   1.4130552    1.3102014    1.5233542    1.3450173    0.91035426]"
